# wvl,pde,mirror,window
250.0000,0.0685,0.7803,0.0043
255.0562,0.0953,0.7692,0.0044
260.1124,0.1224,0.7645,0.0044
265.1685,0.1488,0.7704,0.0068
270.2247,0.1999,0.7788,0.0147
275.2809,0.2320,0.7898,0.0499
280.3371,0.2638,0.8045,0.1574
285.3933,0.2915,0.8204,0.3011
290.4494,0.3188,0.8376,0.5258
295.5056,0.3420,0.8561,0.6944
300.5618,0.3642,0.8716,0.7707
305.6180,0.3791,0.8836,0.8151
310.6742,0.3932,0.8947,0.8428
315.7303,0.4019,0.9011,0.8603
320.7865,0.4099,0.9076,0.8703
325.8427,0.4144,0.9155,0.8780
330.8989,0.4186,0.9225,0.8841
335.9551,0.4206,0.9275,0.8889
341.0112,0.4223,0.9330,0.8929
346.0674,0.4230,0.9356,0.8964
351.1236,0.4234,0.9371,0.8993
356.1798,0.4225,0.9410,0.9018
361.2360,0.4215,0.9432,0.9039
366.2921,0.4200,0.9410,0.9057
371.3483,0.4191,0.9418,0.9073
376.4045,0.4200,0.9445,0.9087
381.4607,0.4204,0.9465,0.9098
386.5169,0.4195,0.9470,0.9108
391.5730,0.4179,0.9479,0.9116
396.6292,0.4148,0.9482,0.9121
401.6854,0.4112,0.9494,0.9122
406.7416,0.4067,0.9505,0.9132
411.7978,0.4019,0.9508,0.9137
416.8539,0.3963,0.9507,0.9138
421.9101,0.3904,0.9498,0.9139
426.9663,0.3840,0.9482,0.9139
432.0225,0.3774,0.9479,0.9139
437.0787,0.3706,0.9493,0.9139
442.1348,0.3627,0.9492,0.9140
447.1910,0.3535,0.9477,0.9144
452.2472,0.3427,0.9469,0.9153
457.3034,0.3302,0.9454,0.9156
462.3596,0.3179,0.9450,0.9157
467.4157,0.3057,0.9431,0.9157
472.4719,0.2948,0.9418,0.9157
477.5281,0.2852,0.9410,0.9157
482.5843,0.2767,0.9392,0.9158
487.6404,0.2692,0.9380,0.9161
492.6966,0.2619,0.9366,0.9165
497.7528,0.2546,0.9345,0.9167
502.8090,0.2441,0.9320,0.9167
507.8652,0.2309,0.9294,0.9172
512.9213,0.2131,0.9270,0.9175
517.9775,0.1919,0.9252,0.9176
523.0337,0.1723,0.9228,0.9176
528.0899,0.1538,0.9199,0.9176
533.1461,0.1398,0.9189,0.9176
538.2022,0.1285,0.9175,0.9176
543.2584,0.1196,0.9136,0.9176
548.3146,0.1122,0.9096,0.9176
553.3708,0.1057,0.9069,0.9176
558.4270,0.0997,0.9048,0.9176
563.4831,0.0939,0.9027,0.9176
568.5393,0.0883,0.9000,0.9176
573.5955,0.0829,0.8965,0.9176
578.6517,0.0774,0.8919,0.9176
583.7079,0.0721,0.8881,0.9176
588.7640,0.0667,0.8842,0.9176
593.8202,0.0616,0.8822,0.9176
598.8764,0.0565,0.8794,0.9176
603.9326,0.0515,0.8740,0.9176
608.9888,0.0466,0.8690,0.9176
614.0449,0.0420,0.8651,0.9176
619.1011,0.0375,0.8616,0.9176
624.1573,0.0334,0.8573,0.9176
629.2135,0.0294,0.8529,0.9176
634.2697,0.0257,0.8467,0.9176
639.3258,0.0222,0.8425,0.9176
644.3820,0.0192,0.8378,0.9178
649.4382,0.0162,0.8331,0.9182
654.4944,0.0137,0.8282,0.9184
659.5506,0.0113,0.8229,0.9181
664.6067,0.0094,0.8178,0.9183
669.6629,0.0076,0.8122,0.9185
674.7191,0.0062,0.8067,0.9185
679.7753,0.0048,0.8013,0.9185
684.8315,0.0039,0.7966,0.9181
689.8876,0.0029,0.7919,0.9176
694.9438,0.0023,0.7867,0.9178
700.0000,0.0017,0.7814,0.9177
