wvl,mirror,pmt,winston
200,0.216227,0.0,0.9
205,0.374574,0.0,0.9
210,0.530448,0.0,0.9
215,0.623578,0.0,0.9
220,0.67518,0.0001,0.9
225,0.702283,0.0003,0.9
230,0.710803,0.0072,0.9
235,0.705334,0.0193,0.9
240,0.690544,0.0317,0.9
245,0.667347,0.0471,0.9
250,0.6394,0.0685,0.9
255,0.6874,0.095,0.9
260,0.7154,0.1218,0.9
265,0.741,0.1471,0.9
270,0.7659,0.198436,0.9
275,0.7895,0.230177,0.9
280,0.8152,0.261918,0.9
285,0.8413,0.28934899999999997,0.9
290,0.8568,0.31678,0.9
295,0.8685,0.339653,0.9
300,0.885,0.362526,0.9
305,0.8998,0.377296,0.9
310,0.9112,0.392066,0.9
315,0.9209,0.40061250000000004,0.9
320,0.9294,0.409159,0.9
325,0.9361,0.4136765,0.9
330,0.9406,0.418194,0.9
335,0.9454,0.420182,0.9
340,0.9492,0.42217,0.9
345,0.9526,0.4228765,0.9
350,0.9567,0.423583,0.9
355,0.9628,0.422717,0.9
360,0.9664,0.421851,0.9
365,0.9616,0.4203785,0.9
370,0.9475,0.418906,0.9
375,0.9414,0.41979500000000003,0.9
380,0.9414,0.420684,0.9
385,0.9442,0.419809,0.9
390,0.9446,0.418934,0.9
395,0.9446,0.415796,0.9
400,0.9451,0.412658,0.9
405,0.9461,0.40825750000000005,0.9
410,0.9468,0.403857,0.9
415,0.9472,0.39835149999999997,0.9
420,0.9485,0.392846,0.9
425,0.948,0.3864965,0.9
430,0.9481,0.380147,0.9
435,0.9472,0.373408,0.9
440,0.9479,0.366669,0.9
445,0.9474,0.357489,0.9
450,0.9462,0.348309,0.9
455,0.9458,0.335932,0.9
460,0.9451,0.323555,0.9
465,0.9437,0.31150599999999995,0.9
470,0.9421,0.299457,0.9
475,0.9409,0.290006,0.9
480,0.9399,0.280555,0.9
485,0.9373,0.273154,0.9
490,0.9355,0.265753,0.9
495,0.9343,0.2585885,0.9
500,0.9326,0.251424,0.9
505,0.9303,0.238394,0.9
510,0.9284,0.225364,0.9
515,0.9257,0.20439400000000002,0.9
520,0.9235,0.183424,0.9
525,0.9208,0.1651145,0.9
530,0.9183,0.146805,0.9
535,0.9155,0.1356345,0.9
540,0.9127,0.124464,0.9
545,0.9093,0.117068,0.9
550,0.9065,0.109672,0.9
555,0.9034,0.10373,0.9
560,0.9,0.097788,0.9
565,0.8967,0.0922605,0.9
570,0.8933,0.086733,0.9
575,0.8893,0.08135500000000001,0.9
580,0.8841,0.075977,0.9
585,0.8806,0.0707075,0.9
590,0.8777,0.065438,0.9
595,0.8733,0.060379,0.9
600,0.8699,0.05532,0.9
605,0.8669,0.050474500000000005,0.9
610,0.8629,0.045629,0.9
615,0.8585,0.041189500000000004,0.9
620,0.8542,0.03675,0.9
625,0.85,0.032741,0.9
630,0.8464,0.028732,0.9
635,0.8428,0.025239499999999998,0.9
640,0.8384,0.021747,0.9
645,0.8341,0.018791,0.9
650,0.83,0.015835,0.9
655,0.8236,0.013472499999999998,0.9
660,0.8196,0.01111,0.9
665,0.8168,0.0092785,0.9
670,0.8128,0.007447,0.9
675,0.8077,0.006109,0.9
680,0.8029,0.004771,0.9
685,0.7987,0.0038450000000000003,0.9
690,0.794346,0.002919,0.9
695,0.789199,0.0023135,0.9
700,0.783959,0.001708,0.9
705,0.7810861538461538,0.0013335,0.9
710,0.7782133076923077,0.000959,0.9
715,0.7753404615384615,0.0007394999999999999,0.9
720,0.7724676153846154,0.00052,0.9
725,0.7695947692307692,0.0003965,0.9
730,0.7667219230769231,0.000273,0.9
735,0.7638490769230769,0.0002065,0.9
740,0.7609762307692307,0.00014,0.9
745,0.7581033846153846,0.00010449999999999999,0.9
750,0.7552305384615384,6.9e-05,0.9
755,0.7523576923076923,5.1e-05,0.9
760,0.7494848461538461,3.3e-05,0.9
765,0.746612,2.4e-05,0.9
770,0.7437391538461539,1.5e-05,0.9
775,0.7408663076923077,1.1e-05,0.9
780,0.7379934615384616,7e-06,0.9
785,0.7351206153846154,5.25e-06,0.9
790,0.7322477692307693,3.5e-06,0.9
795,0.7293749230769231,1.7500000000000002e-06,0.9
800,0.7265020769230769,0.0,0.9
