wvl,pde,mirror,window
200.0000,0.0200,0.8008,0.0000
205.0000,0.0287,0.7551,0.0000
210.0000,0.0377,0.7224,0.0000
215.0000,0.0485,0.7288,0.0000
220.0000,0.0625,0.7240,0.0000
225.0000,0.0713,0.7122,0.0000
230.0000,0.0864,0.6968,0.0000
235.0000,0.1002,0.6843,0.0000
240.0000,0.1189,0.6772,0.0000
245.0000,0.1299,0.6858,0.0000
250.0000,0.1465,0.7123,0.0000
255.0000,0.1583,0.7528,0.0441
260.0000,0.1744,0.7931,0.0711
265.0000,0.1717,0.8277,0.1119
270.0000,0.1872,0.8526,0.1684
275.0000,0.2100,0.8716,0.2495
280.0000,0.2221,0.8851,0.3469
285.0000,0.2578,0.8952,0.4630
290.0000,0.2826,0.9024,0.5731
295.0000,0.3136,0.9071,0.6683
300.0000,0.3441,0.9103,0.7394
305.0000,0.3649,0.9125,0.7583
310.0000,0.3832,0.9136,0.7762
315.0000,0.4054,0.9137,0.7901
320.0000,0.4177,0.9133,0.7939
325.0000,0.4225,0.9126,0.7963
330.0000,0.4179,0.9114,0.8014
335.0000,0.4340,0.9101,0.8082
340.0000,0.4394,0.9085,0.8103
345.0000,0.4432,0.9073,0.8158
350.0000,0.4434,0.9065,0.8293
355.0000,0.4390,0.9062,0.8436
360.0000,0.4374,0.9060,0.8387
365.0000,0.4248,0.9060,0.8447
370.0000,0.4351,0.9060,0.8424
375.0000,0.4450,0.9060,0.8496
380.0000,0.4496,0.9061,0.8569
385.0000,0.4702,0.9063,0.8635
390.0000,0.4776,0.9062,0.8695
395.0000,0.4666,0.9061,0.8742
400.0000,0.4799,0.9058,0.8753
405.0000,0.5113,0.9053,0.8783
410.0000,0.5230,0.9047,0.8840
415.0000,0.5256,0.9041,0.8885
420.0000,0.5414,0.9034,0.8903
425.0000,0.5479,0.9026,0.8902
430.0000,0.5384,0.9016,0.8902
435.0000,0.5344,0.9004,0.8901
440.0000,0.5490,0.8990,0.8879
445.0000,0.5711,0.8975,0.8879
450.0000,0.5771,0.8959,0.8925
455.0000,0.5620,0.8942,0.8963
460.0000,0.5523,0.8924,0.8963
465.0000,0.5598,0.8906,0.8970
470.0000,0.5732,0.8886,0.8987
475.0000,0.5712,0.8865,0.8981
480.0000,0.5649,0.8842,0.8971
485.0000,0.5598,0.8819,0.8972
490.0000,0.5645,0.8793,0.8944
495.0000,0.5701,0.8766,0.8842
500.0000,0.5685,0.8737,0.8659
505.0000,0.5521,0.8707,0.8449
510.0000,0.5308,0.8676,0.8214
515.0000,0.5189,0.8644,0.7860
520.0000,0.5203,0.8610,0.7367
525.0000,0.5242,0.8575,0.6730
530.0000,0.5233,0.8538,0.6100
535.0000,0.5183,0.8497,0.5535
540.0000,0.5084,0.8455,0.5092
545.0000,0.4943,0.8412,0.4646
550.0000,0.4863,0.8367,0.4155
555.0000,0.4812,0.8319,0.3526
560.0000,0.4718,0.8269,0.2915
565.0000,0.4606,0.8217,0.2311
570.0000,0.4467,0.8162,0.1807
575.0000,0.4337,0.8107,0.1405
580.0000,0.4232,0.8046,0.1189
585.0000,0.4183,0.7982,0.1048
590.0000,0.4166,0.7917,0.0938
595.0000,0.4143,0.7852,0.0815
600.0000,0.4031,0.7785,0.0721
605.0000,0.3949,0.7716,0.0648
610.0000,0.3830,0.7642,0.0595
615.0000,0.3718,0.7566,0.0551
620.0000,0.3629,0.7488,0.0521
625.0000,0.3559,0.7404,0.0504
630.0000,0.3499,0.7318,0.0491
635.0000,0.3416,0.7229,0.0469
640.0000,0.3333,0.7135,0.0446
645.0000,0.3224,0.7038,0.0425
650.0000,0.3131,0.6939,0.0427
